"","Estimate","p-value","OR","2.5 %","97.5 %"
"I_38 In response to sudden or loud noises eg vacuum cleaner car backfire road drills objects being dropped etc",1.03100366018819,0.0256780161565285,2.80387856423809,1.24509679028944,8.19611429507349
"I_39 When unfamiliar persons visit your home",1.60943791169281,0.269000389245736,4.99999999629355,0.18738120855464,133.784239232275
"I_40 When an unfamiliar person tries to touch or pet the dog",18.3200875638579,0.991385197843101,90430084.5648658,2.67503063151537e-108,NA
"I_41 In heavy traffic",1.12421377303104,0.059656807654887,3.07779605113412,0.936154588649043,10.6351151075799
"I_42 In response to strange or unfamiliar objects on or near the sidewalk eg plastic trash bags leaves litter flags flapping etc",0.678912437520739,0.329269977093092,1.97173218379069,0.428054649642478,7.59134964259839
"I_43 When examinedtreated by a veterinarian",0.905323855427565,0.0533009214472626,2.47273260127232,1.06463971889368,7.04022240934765
"I_44 During thunderstorms firework displays or similar events",0.233761915396689,0.693363862796416,1.26334367372167,0.319676028252281,3.76418054840319
"I_45 When approached directly by an unfamiliar dog of the same or larger size",0.834206542765202,0.0308256434079428,2.30298600223962,1.15755535493861,5.70423950212594
"I_46 When approached directly by an unfamiliar dog of a smaller size",0.700213374337246,0.079844039257281,2.01418243646475,0.933916751955622,5.00754442365728
"I_47 When first exposed to unfamiliar situations eg first car trip first time in elevator first visit to veterinarian etc",0.923473931068163,0.0785029428479167,2.51802265063492,0.884100278406997,7.33302759495048
"I_48 In response to wind or windblown objects",1.05672316276956,0.0792878306906395,2.87692830087528,1.06955904915926,11.1887005333581
"I_49 When having nails clipped by a household member",1.28593152303225,0.103933116717669,3.61803667244786,0.634894452949598,19.426958204457
"I_50 When groomed or bathed by a household member",0.470382041187949,0.217910087725903,1.60060557367847,0.710845916781155,3.52026080365098
"I_51 When having his or her feet towed by a member of the household",-14.9566305100334,0.992966777727136,3.19461040339538e-07,NA,1.01447532843247e+109
"I_52 When unfamiliar dogs visit your home",1.39382735008496,0.0599595645262187,4.03024573322087,1.28489814957766,22.5499651015062
"I_53 When barked growled or lunged at by an unfamiliar dog",0.703689348543302,0.0234450533711129,2.02119586484668,1.12584530883922,3.99555145199867
"I_54 Shaking shivering or trembling",1.51036794555525,0.0493511013593908,4.52839669125073,1.13574425655659,30.3389084178493
"I_55 Excessive salivation",1.13808160518246,0.124341311529997,3.12077573890818,0.665165893370273,14.3090886152966
"I_56 Restlessness agitation pacing",0.809153803704856,0.0348804729847811,2.24600661984456,1.05015555266144,4.90529597149695
"I_57 Whining",0.789682782968418,0.0342777528977958,2.20269758223067,1.06544488513288,4.73946703193369
"I_58 Howling",0.84403163730678,0.0960405393418845,2.32572457885474,0.817308014584335,6.5157352840644
"I_59 Chewing or scratching at doors floor windows curtains etc",0.320110630310064,0.324141871375716,1.37728012483521,0.696838862470195,2.5820325074888
"I_60 Loss of appetite",1.16171058524404,0.189601782459645,3.1953945986049,0.499824609257824,24.8161882396581
"I_61 Barking",0.657748526106128,0.0306009338846988,1.9304411001543,1.06615862494223,3.59948952688825
"I_62 When you or other members of the household come home after a brief absence",1.04213867734734,0.00352243546424281,2.83527427164154,1.48555267638311,6.19739955016526
"I_63 When playing with you or other members of your household",0.87592306901762,0.0118646853454979,2.40109064373116,1.27007886177644,5.11388100429086
"I_64 When doorbell rings",0.750574838755863,0.0156195679622545,2.11821730010573,1.18354850618092,4.1051247081558
"I_65 Just before being taken for a walk",0.729265979476493,0.0130866321568563,2.07355801479573,1.18624246018389,3.85402737027745
"I_66 Just before being taken on a car trip",0.643118529123267,0.0319062154155748,1.90240434160304,1.05720473792289,3.53482875835736
"I_67 When visitors arrive at your home",0.459037641417817,0.0937642348482677,1.58255027109738,0.924733840837289,2.76105363217994
"I_68 Displays a strong attachment for one particular member of the household",0.404780240221385,0.160514051093648,1.49897304987255,0.878096659681461,2.79024553973961
"I_69 Tends to follow you or other members of household about the house from room to room",0.543437742451686,0.155268085758078,1.7219162033992,0.848536277279067,3.87218704112919
"I_70 Tends to sit close to or in contact with you or others when you are sitting down",0.242547920889355,0.524004188022208,1.27449232250563,0.613854326621147,2.80012408525345
"I_71 Tends to nudge nuzzle or paw you or others for attention when you are sitting down",0.413745416194528,0.170766249551843,1.51247202698208,0.848130046142745,2.82655314570485
"I_72 Becomes agitated whines jumps up tries to intervene when you or others show affection for another person",0.459842966328927,0.148093007385166,1.58382525157164,0.830551878781381,2.97956543108392
"I_73 Becomes agitated whines jumps up tries to intervene when you show affection for another dog or animal",0.34169297617787,0.270723817135224,1.40732814791042,0.745871764612901,2.60477737403186
"I_74 Chases or would chase cats given the opportunity",0.145295548535377,0.57081586727137,1.15638128656424,0.688971401254119,1.92242423259752
"I_75 Chases or would chase birds given the opportunity",0.607265250329901,0.0255543328376381,1.83540515551209,1.09175780485253,3.23995444116393
"I_76 Chases or would chase squirrels rabbits and other small animals given the opportunity",0.319307136597734,0.231930057036939,1.37617393338324,0.819807138074369,2.39619598361739
"I_77 Escapes or would escape from home or yard given the chance",1.05116345506112,0.00614433470955919,2.8609778015675,1.44027160164252,6.83692103710584
"I_78 Rolls in animal droppings or other smelly substances",-0.0382653360971603,0.896925570092781,0.962457532282838,0.518442562232327,1.69128381962443
"I_79 Eats own or other animals droppings or faeces",-0.363754901242381,0.307310220283588,0.695061532585366,0.302768595617705,1.28609992138198
"I_80 Chews inappropriate objects",0.367363238675752,0.239345420917046,1.44392231229808,0.778850949044504,2.72154157309794
"I_81 Mounts objects furniture or people",0.300051446521034,0.570792499300339,1.34992825490194,0.415745348260955,3.63537792052456
"I_82 Begs persistently for food when people are eating",0.682159577044605,0.0259456744000667,1.97814507944388,1.09824964024615,3.80008990574196
"I_83 Steals food",0.0421983398904897,0.885155243330911,1.04310134684189,0.544981293069048,1.78833639995485
"I_84 Nervous or frightened on stairs",0.0651236484016861,0.900743932038131,1.0672909850501,0.232109051362602,2.6850393840806
"I_85 Pulls excessively hard when on the leash",0.821043793897668,0.0396608835124091,2.27287100869919,1.07259242805433,5.31224237470073
"I_86 Urinates against objects furnishings in your home",-3.76298517245889,0.994995037136027,0.0232143380349053,NA,2.75570543253169e+51
"I_87 Urinates when approached petted handled or picked up",-3.76298517245889,0.994995037136027,0.0232143380349053,NA,2.75570543253169e+51
"I_88 Urinates when left alone at night or during the daytime",-14.8781688181787,0.99454897279472,3.45536063638038e-07,NA,6.40306518861014e+141
"I_89 Defecates when left alone at night or during the daytime",-14.878168818178,0.994548972794718,3.45536063638256e-07,NA,6.4030651879721e+141
"I_90 Hyperactive restless has trouble settling down",0.870990215670043,0.0431637430883853,2.38927558065614,1.02501283351938,5.85667659169349
"I_91 Playful puppyish boisterous",0.659581771134648,0.0658082817377597,1.93398331758821,0.977141897654767,4.09520879250766
"I_92 Active energetic always on the go",0.570363659226548,0.0809846045733372,1.76891021500109,0.952137465276936,3.51302758054545
"I_93 Stares intently at nothing visible",1.03029827336407,0.0483260840767103,2.80190144264218,1.13610313143552,9.2776163255707
"I_94 Snaps at invisible flies",0.413119715211821,0.306990056241656,1.51152596775444,0.599656197859538,3.57232990453842
"I_95 Chases own tail or hind end",0.378707474742462,0.294180939655223,1.46039577060465,0.716418395761954,3.03646166161859
"I_96 Chases or follows shadows light spots etc",0.430317681807665,0.118932199381754,1.53774595987677,0.872953643232816,2.71073560959201
"I_97 Barks persistently when alarmed or excited",0.260166180968503,0.501347891902346,1.29714562967273,0.554873897811125,2.75236381838283
"I_98 Licks him or herself excessively",0.804983029547605,0.134644964119858,2.23665854139061,0.748085516619803,6.59082676870776
"I_99 Licks people or objects excessively",0.840554603389211,0.0309877036264703,2.31765199806271,1.08352353553804,5.22168250129
"I_100 Displays other bizarre strange or repetitive behaviours",0.0822830189200216,0.851068170180089,1.08576305783703,0.284158064514834,2.31302498823808
"F_01 Stranger directed aggression",5.74182799253059,0.0289723003848613,311.633554437707,1.93656933875373,78300.9628860349
"F_02 Owner directed aggression",4.84645432237236,0.23256717748308,127.28826562065,0.0209204662070732,1356011.41538139
"F_03 Dog directed aggression",1.57681304154856,0.0206511683443645,4.83950789778757,1.51194160969595,21.9092442040233
"F_04 Dog directed fear",0.95897799794497,0.0311475016980592,2.60902867773871,1.19118546448777,7.54252291318958
"F_05 Dog rivalry",1.25124266778123,0.226190401234406,3.49468299025148,0.368795318047403,33.6431141275078
"F_06 Trainability",-1.02815848088048,0.213474132382962,0.357665001424285,0.0667869152834105,1.8009608294776
"F_07 Chasing",0.624643964960881,0.0691117922917053,1.86758091480595,0.95859023837285,3.82281987482155
"F_08 Stranger directed fear",3.35335052537516,0.152074341257361,28.5983929410644,0.269610077071196,5492.23116968864
"F_09 Nonsocial fear",2.51110013823228,0.00764568425839699,12.3184746336008,2.18006775027829,95.6891197673852
"F_10 Separation related problems",2.84737751074547,0.00257149236940571,17.2425042144497,3.08091669527849,135.532747220936
"F_11 Touch sensitivity",0.853105557336666,0.429981031695583,2.34692405340668,0.214850175398315,18.466063100149
"F_12 Excitability",1.25472906139841,0.00359798604838374,3.50688809425842,1.6015960886214,9.03426591661046
"F_13 Attachment attention seeking",1.00198715614802,0.0766479512984286,2.72368884942473,0.962585930058454,9.26775360043509
"F_14 Energy",0.746791290703539,0.0511998955158688,2.11021806545244,1.02571346999188,4.73022700862242
"Sex",-0.336472236621418,0.613605274916977,0.714285714285568,0.184722185293052,2.65828966594306
