Code,Timestamp,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Friendly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,Extraversion,Motivation,Training,Amicability,Neuroticism,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Duration,Outcome,Label
04-13-LY,2021-06-08 13:39:44,4,4,3,2,4,2,"Willing, responsive dog who looks to please, walks out nicely as guide dog. Can be excitable for play with toys and dogs",3,3,3,4,3,,4,5,4,5,4,5,,4,5,6,4,5,,2,1,2,2,,0.17975402081362346,0.1816461684011353,0.2554399243140965,0.28382213812677387,0.09933774834437085,2021-04-07 00:00:00,Yorkie,Rose,2019-09-26 00:00:00,M,IGDB,GD,2021-12-10 00:00:00,LRxGR,,247 days,Success,2.0
04-14-LV,2021-06-20 13:19:02,3,3,4,3,4,3,Depends on context. Due to stress in kennels she becomes more excitable but in home and on general walks she is less so.,3,4,2,3,4,,5,5,6,5,5,6,,3,4,3,3,3,She can be cautious of strangers approaching her full on but in general she is really friendly. She becomes very attached to handler. ,3,4,3,3,,0.18148820326678766,0.17422867513611615,0.2903811252268602,0.17695099818511797,0.17695099818511797,2021-04-07 00:00:00,Verona,Graham,2019-06-11 00:00:00,F,IGDB,AD,2021-08-27 00:00:00,LR,,142 days,Success,1.0
04-15-LV,2021-07-05 10:21:32,4,4,5,4,4,5,,4,4,5,5,3,"Highly motivated but only in terms of self interest and to self serve, not inherently willing to please handler",2,2,5,2,2,2,,2,4,4,2,4,,4,4,2,4,Fearful reaction to veterinary personal or handling/physical check,0.2402957486136784,0.23290203327171907,0.13863216266173753,0.19408502772643255,0.19408502772643255,2021-04-07 00:00:00,Vista,Graham,2019-06-11 00:00:00,F,IGDB,W,2021-04-30 00:00:00,LR,,23 days,Fail,0.0
04-16-LH,2021-06-08 10:56:27,1,1,1,1,1,1,,2,2,2,1,1,Self interested with scenting only.,2,5,4,3,4,4,Slow to respond,6,6,6,5,5,,3,4,3,3,,0.06659267480577137,0.1065482796892342,0.24417314095449502,0.3662597114317425,0.21642619311875694,2021-04-08 00:00:00,Harold,Rose,2020-01-10 00:00:00,M,PRV breeder,W,2021-06-14 00:00:00,LR,,67 days,Fail,0.0
05-01-LD,2019-07-15 13:27:22,3,5,3,3,2,3,,4,4,3,4,3,,4,4,5,4,4,5,,4,5,6,5,5,,1,1,2,2,,0.17740429505135386,0.20168067226890754,0.24276377217553685,0.2941176470588235,0.08403361344537814,2019-05-01 00:00:00,Dugg,Graham,2018-02-11 00:00:00,M,IGDB,AD,2019-10-25 00:00:00,LRxGR,,177 days,Success,1.0
05-02-LF,2019-05-21 13:59:32,5,5,5,3,5,3,,4,4,4,4,4,,4,4,4,4,3,4,,2,6,1,3,4,,1,1,2,1,,0.2561576354679803,0.2364532019704434,0.2266009852216749,0.20689655172413796,0.07389162561576355,2019-05-01 00:00:00,Flora,Graham,2018-03-16 00:00:00,F,IGDB,GD,2019-12-20 00:00:00,LR,,233 days,Success,2.0
05-03-LF,2019-07-15 23:02:27,3,3,3,2,2,3,Restless when asked to sit in a busy environment as anxious in busy environment,3,4,3,2,2,,4,3,4,3,3,3,More focused in quiet areas as anxious in busier areas also anxiety increases with equipment which can cause her to loose focus,5,6,6,4,4,,5,6,3,4,,0.14571948998178505,0.1530054644808743,0.18214936247723132,0.27322404371584696,0.2459016393442623,2019-05-01 00:00:00,Fawn,Catherine,2018-03-16 00:00:00,F,IGDB,GD,2019-11-25 00:00:00,LR,,208 days,Success,2.0
05-04-LZ,2019-07-15 13:29:11,4,4,3,3,3,5,,3,4,4,4,3,,3,3,3,3,2,3,,3,4,6,5,4,,1,1,2,2,,0.2242609582059123,0.2201834862385321,0.17329255861365953,0.290519877675841,0.09174311926605504,2019-05-01 00:00:00,Zeb,Catherine,2018-04-06 00:00:00,M,Private breeder,W,2019-08-06 00:00:00,LR,,97 days,Fail,0.0
05-05-LE,2019-07-15 13:27:53,4,4,3,2,3,2,,3,5,4,4,2,,5,5,6,5,5,6,,3,6,5,4,5,,2,2,4,3,,0.15241320914479253,0.18289585097375105,0.270956816257409,0.2540220152413209,0.1397121083827265,2019-05-01 00:00:00,Eldin,Rose,2018-03-12 00:00:00,M,IGDB,GD,2019-12-13 00:00:00,LRx,,226 days,Success,2.0
05-11-LE,2019-07-30 15:20:39,5,5,5,5,5,5,,3,4,2,3,3,,3,3,3,4,3,5,,3,4,6,2,4,,2,2,2,3,,0.28169014084507044,0.16901408450704225,0.19718309859154928,0.22535211267605634,0.1267605633802817,2019-05-15 00:00:00,Edrick,Rose,2018-03-12 00:00:00,M,IGDB,GD,2020-07-09 00:00:00,LRx,,421 days,Success,2.0
05-13-LE,2019-07-30 15:18:36,4,4,4,4,4,2,,4,4,3,4,3,,5,4,5,5,4,6,,3,6,6,4,6,,1,1,2,1,,0.19451812555260828,0.1909814323607427,0.2564102564102564,0.2917771883289124,0.0663129973474801,2019-05-15 00:00:00,Esme,Graham,2018-03-12 00:00:00,F,IGDB,GD,2019-12-13 00:00:00,LRx,,212 days,Success,2.0
05-14-LE,2019-07-30 16:15:52,3,3,3,2,4,3,,3,3,3,3,4,,5,4,5,4,5,5,,3,4,6,3,5,,1,2,3,2,,0.1727447216890595,0.18426103646833014,0.2687140115163148,0.2591170825335892,0.11516314779270632,2019-05-15 00:00:00,Ebbi,Graham,2018-03-12 00:00:00,F,IGDB,AD,2019-10-25 00:00:00,LRx,,163 days,Success,1.0
05-22-LE,2019-08-09 22:12:01,3,3,3,2,3,1,"Most excited when free running, This excitement is rarely seen during training sessions",2,3,3,2,2,,4,5,5,5,4,4,She is obiedience and responsive but lacks confidence at times which can affect her trainability ,5,5,3,4,4,Can be full on when playing with other dogs,3,4,2,2,,0.15479876160990713,0.14860681114551083,0.2786377708978328,0.24767801857585142,0.17027863777089786,2019-05-28 00:00:00,Eliza,Catherine,2018-03-12 00:00:00,F,IGDB,W,2019-11-12 00:00:00,LRx,,168 days,Fail,0.0
07-02-LH,2019-09-19 13:28:36,4,5,6,4,4,5,NB: On the first questionnaire this dog was recorded as Goober- Mix up,4,3,4,3,5,,4,5,6,4,4,5,,2,5,6,4,5,,3,3,2,1,,0.22894521668029438,0.18642681929681112,0.22894521668029438,0.24529844644317253,0.11038430089942763,2019-07-02 00:00:00,Herbie,Graham,2018-05-11 00:00:00,M,IGDB,GD,2020-03-10 00:00:00,LRxGR,,252 days,Success,2.0
07-03-LE,2019-09-19 13:23:48,4,4,3,2,4,2,,4,3,3,3,3,,5,4,5,4,4,5,,2,3,4,3,3,,2,3,3,4,,0.18500486854917234,0.186952288218111,0.2629016553067186,0.18987341772151897,0.17526777020447906,2019-07-02 00:00:00,Evie,Rose,2018-03-12 00:00:00,F,IGDB,GD,2020-02-02 00:00:00,LRx,,215 days,Success,2.0
07-12-LG,2019-10-14 13:34:38,3,2,2,2,2,2,,3,4,3,3,3,,4,5,5,4,4,5,,5,5,6,5,5,,1,1,3,3,,0.12658227848101264,0.186952288218111,0.2629016553067186,0.30671859785783834,0.11684518013631938,2019-06-16 00:00:00,Gav,Rose,2018-04-15 00:00:00,M,IGDB,AD,2020-01-28 00:00:00,LRxGR,,226 days,Success,1.0
07-13-LE,2019-10-10 13:55:16,5,6,4,3,6,3,,6,5,4,4,3,,5,6,5,5,6,6,great worker ,4,6,6,3,5,,1,2,3,2,,0.21028037383177572,0.20560747663551404,0.25700934579439255,0.23364485981308414,0.09345794392523366,2019-07-30 00:00:00,Effie,Graham,2018-03-12 00:00:00,F,IGDB,GD,2020-02-03 00:00:00,LRx,,188 days,Success,2.0
07-14-LG,2019-10-10 13:47:35,2,2,3,3,3,3,,1,1,2,1,2,,1,3,2,2,2,2,"Anxious, type",2,3,3,1,2,,2,2,3,2,"Anxious, not nervous. High body sensitivity, does affect overall demeanour. ",0.25236593059936907,0.13249211356466875,0.18927444794952683,0.21293375394321767,0.21293375394321767,2019-07-21 00:00:00,Gretel,Catherine,2018-04-15 00:00:00,F,IGDB,AD,2019-11-29 00:00:00,LRxGR,,131 days,Success,1.0
08-01-LH,2019-10-29 14:49:38,3,3,4,2,2,4,"not people focused, independent.",3,3,5,3,3,"more highly motivated for his own gain, not hugely willing in training",2,3,3,2,2,3,not very challenging but would not describe as willing or that responsive to handler,4,3,4,2,3,not particularly amicable but tolerant but self interested,3,4,3,3,"insecure, excitable with other dogs, anxious around dogs so become a bit reactive to them",0.198019801980198,0.22442244224422442,0.16501650165016502,0.198019801980198,0.2145214521452145,2019-08-21 00:00:00,Harry,Rose,2018-05-11 00:00:00,M,IGDB,AD,2019-11-29 00:00:00,LRxGR,,100 days,Success,1.0
08-02-LH,2019-10-29 14:00:15,4,4,4,4,4,3,,3,3,2,3,3,,4,3,4,5,4,4,,4,6,6,4,4,,3,2,3,3,,0.2085222121486854,0.15231187669990934,0.21758839528558477,0.271985494106981,0.14959202175883954,2019-08-21 00:00:00,Harvey,Rose,2018-05-11 00:00:00,M,IGDB,AD,2020-01-28 00:00:00,LRxGR,,160 days,Success,1.0
08-03-LH,2019-10-30 13:24:25,5,4,3,2,5,4,hans finds it difficult to settle especially when dogs are around,2,2,2,4,3,,6,6,4,5,4,5,,2,6,3,1,4,,4,3,3,3,,0.21081576535288726,0.14298808432630614,0.27497708524289644,0.1924839596700275,0.17873510540788268,2019-08-21 00:00:00,Hans,Graham,2018-05-11 00:00:00,M,IGDB,AD,2020-02-12 00:00:00,LRxGR,,175 days,Success,1.0
08-11-LJ,2019-11-04 18:44:23,3,2,3,1,3,2,she can be lazy. ,3,5,5,2,3,needs a lot of motivation ,4,3,5,3,4,5,,3,4,6,5,4,likes her own company. self interested ,1,1,2,2,,0.14418125643666324,0.22245108135942326,0.24716786817713696,0.29351184346035014,0.09268795056642637,2019-08-28 00:00:00,Jira,Frances,2018-07-03 00:00:00,F,IGDB,GD,2020-02-03 00:00:00,LR,,159 days,Success,2.0
08-12-LH,2020-01-21 16:41:43,4,4,6,5,4,2,,3,2,5,3,5,,2,2,4,2,2,1,,2,1,3,1,2,,6,5,3,6,,0.24975024975024976,0.21578421578421578,0.12987012987012986,0.1048951048951049,0.2997002997002997,2019-08-28 00:00:00,Hayley,Frances,2018-05-11 00:00:00,F,IGDB,W,2019-12-04 00:00:00,LRxGR,,98 days,Fail,0.0
08-13-LJ,2020-01-24 15:51:25,2,2,3,2,2,2,"Overall calm, can settle easily",4,4,5,4,4,,3,3,4,3,3,4,"food motivation high, so is trainable",4,4,5,5,5,,2,2,2,2,,0.1317122593718338,0.2553191489361702,0.20263424518743664,0.2887537993920972,0.12158054711246198,2019-08-28 00:00:00,Jojo,Frances,2018-07-03 00:00:00,F,IGDB,AD,2019-11-29 00:00:00,LR,,93 days,Success,1.0
09-21-LZ,2020-12-06 20:45:57,4,4,4,3,4,4,all of above may be related to  immaturity and lack of confidence,2,3,2,3,2,,3,3,3,4,2,4,,2,5,5,2,5,,4,3,4,3,,0.22351797862001946,0.13994169096209913,0.18464528668610303,0.2478134110787172,0.20408163265306123,2020-09-08 00:00:00,Zaid,Frances,2019-07-22 00:00:00,M,AADI,W,2021-03-19 00:00:00,LR,,192 days,Fail,0.0
09-22-LZ,2020-12-06 20:49:27,3,3,3,2,2,2,,4,4,4,4,4,,2,2,3,2,2,2,,4,2,5,3,3,,4,3,3,3,,0.16483516483516483,0.26373626373626374,0.14285714285714285,0.2142857142857143,0.2142857142857143,2020-09-08 00:00:00,Zavier,Frances,2019-07-22 00:00:00,M,AADI,W,2020-09-16 00:00:00,LR,,8 days,Fail,0.0
09-23-LT,2020-12-06 21:22:00,3,3,2,1,2,1,,4,4,5,3,4,,4,4,5,5,5,5,,6,5,6,6,6,,1,1,1,1,,0.11483253588516745,0.2296650717703349,0.2679425837320574,0.33014354066985646,0.057416267942583726,2020-09-08 00:00:00,Tango,Graham,2019-05-23 00:00:00,F,IGDB,AD,2021-04-22 00:00:00,LRxGR,,226 days,Success,1.0
09-24-LQ,2020-12-06 21:28:46,4,3,2,1,2,2,,4,4,3,3,3,,5,5,5,5,5,5,,5,5,6,5,6,,4,3,3,3,,0.11976047904191617,0.17450812660393497,0.2566295979469632,0.2822925577416595,0.16680923866552608,2020-09-08 00:00:00,Quayla,Rose,2019-03-20 00:00:00,F,IGDB,AD,2021-02-03 00:00:00,LRxGR,,148 days,Success,1.0
09-25-LV,2020-12-06 21:33:13,5,5,5,3,5,3,,3,3,2,3,3,,5,5,5,5,5,5,,2,5,5,2,5,,3,3,3,3,,0.22355975924333618,0.14445399828030953,0.2579535683576956,0.21926053310404128,0.15477214101461736,2020-09-08 00:00:00,Varley,Rose,2019-06-11 00:00:00,M,IGDB,W,2021-04-14 00:00:00,LR,,218 days,Fail,0.0
09-31-LS,2020-12-03 19:03:25,3,3,2,1,3,1,"Excitable during playtime, very calm / serious in working situations.",2,3,5,4,3,Distractions are relatively low and manageable,4,4,5,4,5,5,Good task focus. Learns quickly.,3,4,3,3,3,"Good with people, can be a rough player with other dogs.",2,2,3,2,Generally calm and level-headed.,0.139186295503212,0.21841541755888652,0.2890792291220557,0.20877944325481798,0.14453961456102785,2020-09-15 00:00:00,Simon,Graham,2019-04-19 00:00:00,M,IGDB,GD,2021-08-26 00:00:00,LRx,,345 days,Success,2.0
09-32-LT,2020-12-03 19:07:42,5,5,4,3,4,3,"Energetic, but can settle and relax well.",4,4,5,3,3,Quite high dog distraction. Will focus strongly on distraction.,2,2,5,3,3,2,"Quite high self-interest. Talented, but knows own mind. Intelligent and can learn to take advantage of handler.",4,5,5,3,4,Very friendly and nice mix with other dogs. Can be cuddly with humans when she wants it.,2,2,2,2,"Pretty balanced, decent confidence.",0.23692003948667326,0.2250740375123396,0.16781836130306024,0.25172754195459035,0.11846001974333663,2020-09-15 00:00:00,Teal,Rose,2019-05-23 00:00:00,F,IGDB,AD,2021-03-29 00:00:00,LRxGR,,195 days,Success,1.0
09-33-LZ,2020-12-03 21:42:41,3,2,2,1,3,1,"Energetic for playtime, but perfectly happy to just rest outside this.",3,3,4,3,3,,4,3,3,4,4,4,"Lacks some drive and confidence, inhibits trainability somewhat",5,5,4,4,5,"Lovely with people, can be a troublemaker when playing with other dogs",3,2,2,2,"Generally sound, but some suss reactions seen, usually to unexpected noises",0.128068303094984,0.20490928495197439,0.23479188900747064,0.288153681963714,0.144076840981857,2020-09-15 00:00:00,Zaar,Diana,2019-05-20 00:00:00,M,Private breeder,AD,2021-07-28 00:00:00,LR,,316 days,Success,1.0
09-34-LZ,2020-12-03 21:46:15,4,5,3,2,5,3,"Can be excitable, but regulates himself well",3,3,2,4,3,,4,4,5,4,4,6,Nice combo of intelligence and enough confidence to be able to shape. ,4,5,6,5,5,"Lovely with adults, children and particularly other dogs. Lovely manners.",2,3,2,2,Sound pup,0.19642857142857145,0.16071428571428573,0.2410714285714286,0.28125000000000006,0.1205357142857143,2020-09-15 00:00:00,Zackie,Frances,2019-07-22 00:00:00,M,AADI,GD,2021-05-21 00:00:00,LR,,248 days,Success,2.0
09-35-LV,2020-12-03 21:52:38,5,5,6,3,5,4,Always watching what is going on. Likes to be in company.,4,4,2,4,4,"Keen on his distractions, but tries hard.",4,5,2,5,3,5,"Very keen to please, tries hard. ",4,6,5,2,5,Loves to be with people. Will follow around in the home.,2,3,2,1,Generally sound in all environments.,0.24866785079928955,0.19182948490230908,0.21314387211367675,0.23978685612788633,0.10657193605683837,2020-09-15 00:00:00,Vale,Frances,2019-06-11 00:00:00,M,IGDB,GD,2021-05-21 00:00:00,LR,,248 days,Success,2.0
09-41-LR,2020-11-27 15:39:32,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,2,4,,5,6,6,5,5,,2,1,2,2,,0.17381228273464658,0.12514484356894554,0.19698725376593282,0.3823870220162225,0.12166859791425261,2020-09-22 00:00:00,Ramona,Graham,2019-04-19 00:00:00,F,IGDB,AD,2021-04-21 00:00:00,LRx,,211 days,Success,1.0
09-42-LR,2020-11-27 15:45:08,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,3,4,,5,6,6,5,6,,2,1,2,2,,0.16891891891891891,0.12162162162162161,0.2027027027027027,0.3885135135135135,0.11824324324324324,2020-09-22 00:00:00,Rita,Graham,2019-04-19 00:00:00,F,IGDB,AD,2021-03-01 00:00:00,LRx,,160 days,Success,1.0
09-43-LZ,2020-11-27 15:47:28,5,5,5,4,5,5,,4,4,3,4,5,,4,3,5,4,3,5,,3,5,5,3,5,,2,1,2,1,,0.25663716814159293,0.21238938053097348,0.21238938053097348,0.23893805309734514,0.07964601769911504,2020-09-22 00:00:00,Zorro,Graham,2019-05-20 00:00:00,M,Private breeder,AD,2021-03-19 00:00:00,LR,,178 days,Success,1.0
09-44-LT,2020-11-27 15:49:59,3,3,3,3,3,3,,3,2,3,3,2,,3,2,4,4,4,5,,5,6,6,5,6,,2,1,2,2,,0.17892644135188868,0.1550695825049702,0.2186878727634195,0.3429423459244533,0.10437375745526839,2020-09-22 00:00:00,Toto,Diana,2019-05-23 00:00:00,F,IGDB,AD,2021-04-01 00:00:00,LRx,,191 days,Success,1.0
09-45-LZ,2020-11-27 15:53:10,5,5,6,5,6,5,,4,5,4,5,6,,4,3,4,4,3,4,,3,5,5,3,5,,3,2,2,1,,0.2627257799671593,0.23645320197044337,0.18062397372742203,0.22167487684729067,0.09852216748768475,2020-09-22 00:00:00,Zylan,Rose,2019-08-03 00:00:00,M,Private breeder,AD,2021-04-26 00:00:00,LR,,216 days,Success,1.0
10-02-LH,2020-01-21 13:15:19,2,3,4,3,3,4,,5,5,5,3,6,,2,4,5,4,2,2,,2,4,5,2,3,,4,4,3,3,,0.17463235294117646,0.2647058823529412,0.17463235294117646,0.19301470588235295,0.19301470588235295,2019-10-02 00:00:00,Hollie,Graham,2018-05-11 00:00:00,F,IGDB,W,2019-11-26 00:00:00,LRxGR,,55 days,Fail,0.0
10-03-LJ,2020-01-08 14:18:24,4,4,4,2,3,2,,5,5,5,5,5,"Robust , confident dog",5,5,6,5,5,5,,5,5,6,5,6,,1,1,1,1,,0.1596638655462185,0.25210084033613445,0.2605042016806723,0.2773109243697479,0.05042016806722689,2019-10-17 00:00:00,July,Graham,2018-07-03 00:00:00,F,IGDB,AD,2020-06-08 00:00:00,LR,,235 days,Success,1.0
10-11-LJ,2019-12-11 14:01:25,5,5,3,3,4,4,,5,5,5,5,5,,5,4,5,5,4,4,,3,4,5,4,5,,1,1,1,1,,0.21052631578947367,0.2631578947368421,0.23684210526315788,0.23684210526315788,0.05263157894736842,2019-10-07 00:00:00,Junior,Rose,2018-07-03 00:00:00,M,IGDB,GD,2020-07-27 00:00:00,LR,,294 days,Success,2.0
10-12-LJ,2019-12-11 09:47:49,4,4,3,1,2,2,,4,5,4,5,4,,5,5,6,5,5,5,,4,5,6,4,5,,2,2,3,2,,0.13686911890504702,0.22583404619332764,0.2651839178785287,0.2566295979469632,0.11548331907613345,2019-10-07 00:00:00,Joy,Rose,2018-07-03 00:00:00,F,IGDB,GD,2020-06-08 00:00:00,LR,,245 days,Success,2.0
10-13-LK,2019-12-11 14:04:02,6,6,6,5,5,6,,3,4,4,4,4,,3,4,5,4,3,4,,2,6,6,3,4,,2,2,4,3,,0.27243589743589747,0.18269230769230768,0.1842948717948718,0.2283653846153846,0.13221153846153846,2019-10-07 00:00:00,Kelvin,Rose,2018-08-02 00:00:00,M,IGDB,GD,2020-06-22 00:00:00,LRxGR,,259 days,Success,2.0
10-14-LI,2020-01-21 13:18:34,4,4,4,3,4,2,,2,3,1,3,2,,5,5,5,5,4,5,,3,4,6,4,5,,3,4,5,5,,0.17918088737201368,0.11262798634812289,0.24744027303754268,0.24317406143344714,0.21757679180887374,2019-10-17 00:00:00,Idris,Mags,2018-06-28 00:00:00,M,IGDB,W,2020-02-12 00:00:00,LRxGR,,118 days,Fail,0.0
10-15-LK,2020-01-21 12:22:47,2,1,2,1,2,2,,3,3,4,3,3,,2,4,5,5,5,5,,5,6,6,5,6,,2,2,2,3,,0.09689922480620156,0.186046511627907,0.25193798449612403,0.3343023255813954,0.1308139534883721,2019-10-09 00:00:00,Kirby,Mags,2018-08-02 00:00:00,M,IGDB,AD,2020-07-20 00:00:00,LRxGR,,285 days,Success,1.0
10-31-LK,2020-01-07 14:52:32,3,2,3,2,2,3,,3,4,4,3,3,,3,3,4,5,5,6,,5,5,6,5,4,,2,1,4,4,,0.13901760889712697,0.18906394810009267,0.24096385542168672,0.27803521779425394,0.15291936978683965,2019-10-24 00:00:00,Kacie,Graham,2018-08-02 00:00:00,F,IGDB,AD,2020-06-08 00:00:00,LRxGR,,228 days,Success,1.0
10-41-LZ,2020-12-08 15:10:14,5,5,5,4,6,6,,3,4,4,5,4,,4,4,6,5,4,5,,4,4,5,2,4,,5,4,4,5,,0.23396226415094337,0.1811320754716981,0.2113207547169811,0.16981132075471697,0.20377358490566036,2020-10-05 00:00:00,Zita,Alison,2019-04-29 00:00:00,F,GDBUK,GD,2021-05-21 00:00:00,LRxGR,,228 days,Success,2.0
10-42-LT,2020-12-08 15:14:27,4,4,3,2,4,2,,3,3,3,3,3,,4,5,4,5,5,5,,5,5,5,6,6,,2,3,3,3,,0.16593886462882096,0.1572052401746725,0.24454148471615725,0.28820960698689957,0.14410480349344978,2020-10-05 00:00:00,Tim,Alison,2019-04-20 00:00:00,M,GDBUK,GD,2021-05-21 00:00:00,LR,,228 days,Success,2.0
10-43-LR,2020-12-08 15:18:26,3,3,3,2,3,2,,3,3,3,3,3,,3,3,4,4,4,5,,5,5,5,5,5,,5,5,4,3,,0.14222222222222222,0.16,0.20444444444444446,0.26666666666666666,0.22666666666666666,2020-10-05 00:00:00,Rebecca,Alison,2019-04-15 00:00:00,F,GDBUK,GD,2021-05-21 00:00:00,LRxGR,,228 days,Success,2.0
10-44-LL,2020-12-08 15:22:14,3,3,4,2,4,4,,4,4,5,5,5,,5,4,6,4,4,4,,3,3,3,3,3,,2,3,3,3,,0.18331805682859761,0.2529789184234647,0.24747937671860679,0.16498625114573787,0.15123739688359303,2020-10-05 00:00:00,Leigh,Alison,2019-05-16 00:00:00,F,GDBUK,GD,2021-06-11 00:00:00,GS,,249 days,Success,2.0
