Timestamp,Please insert the ID CODE you were provided with.,Do you consent to participate in this study? By submitting the questionnaire you agree that you understand the content in this information sheet.,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Active]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Energetic]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Excitable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Hyperactive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Lively]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Restless]",Extraversion - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Assertive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Determined]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Independent]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Persevering]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Tenacious]",Motivation - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Attentive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Biddable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Intelligent]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Obedient]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Reliable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Trainable]",Training Focus - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Easy going]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Friendly]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Non-aggressive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Relaxed]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Sociable]",Amicability - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Fearful]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Nervous]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Submissive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Timid]",Neuroticism - Additional Comments
10/10/2019 13:47:35,07-14-LG,Yes,2,2,3,3,3,3,,1,1,2,1,2,,1,3,2,2,2,2,"Anxious, type",2,3,3,1,2,,2,2,3,2,"Anxious, not nervous. High body sensitivity, does affect overall demeanour. "
10/10/2019 13:55:16,07-13-LE,Yes,5,6,4,3,6,3,,6,5,4,4,3,,5,6,5,5,6,6,great worker ,4,6,6,3,5,,1,2,3,2,
10/14/2019 13:34:38,07-12-LG             ,Yes,3,2,2,2,2,2,,3,4,3,3,3,,4,5,5,4,4,5,,5,5,6,5,5,,1,1,3,3,
10/29/2019 14:00:15,08-02-LH,Yes,4,4,4,4,4,3,,3,3,2,3,3,,4,3,4,5,4,4,,4,6,6,4,4,,3,2,3,3,
10/29/2019 14:02:48,08-03-LH,Yes,4,4,5,5,5,4,,3,3,3,3,3,,3,4,4,5,4,4,,4,5,6,4,5,,3,4,4,3,
10/29/2019 14:49:38,08-01-LH,Yes,3,3,4,2,2,4,"not people focused, independent.",3,3,5,3,3,"more highly motivated for his own gain, not hugely willing in training",2,3,3,2,2,3,not very challenging but would not describe as willing or that responsive to handler,4,3,4,2,3,not particularly amicable but tolerant but self interested,3,4,3,3,"insecure, excitable with other dogs, anxious around dogs so become a bit reactive to them"
10/30/2019 13:24:25,08-03-LH,Yes,5,4,3,2,5,4,hans finds it difficult to settle especially when dogs are around,2,2,2,4,3,,6,6,4,5,4,5,,2,6,3,1,4,,4,3,3,3,
11/4/2019 18:44:23,08-11-LJ,Yes,3,2,3,1,3,2,she can be lazy. ,3,5,5,2,3,needs a lot of motivation ,4,3,5,3,4,5,,3,4,6,5,4,likes her own company. self interested ,1,1,2,2,
12/11/2019 9:47:49,10-12-LJ,Yes,4,4,3,1,2,2,,4,5,4,5,4,,5,5,6,5,5,5,,4,5,6,4,5,,2,2,3,2,
12/11/2019 14:01:25,10-11-LJ,Yes,5,5,3,3,4,4,,5,5,5,5,5,,5,4,5,5,4,4,,3,4,5,4,5,,1,1,1,1,
12/11/2019 14:04:02,10-13-LK,Yes,6,6,6,5,5,6,,3,4,4,4,4,,3,4,5,4,3,4,,2,6,6,3,4,,2,2,4,3,
1/7/2020 14:52:32,10-31-LK,Yes,3,2,3,2,2,3,,3,4,4,3,3,,3,3,4,5,5,6,,5,5,6,5,4,,2,1,4,4,
1/8/2020 14:18:24,10-03-LJ,Yes,4,4,4,2,3,2,,5,5,5,5,5,"Robust , confident dog",5,5,6,5,5,5,,5,5,6,5,6,,1,1,1,1,
1/16/2020 11:01:37,11-11-IK,Yes,5,5,6,5,5,5,,4,4,2,4,4,,4,4,6,4,4,5,,3,5,5,3,5,,2,2,2,2,
1/21/2020 8:54:40,11-02-IM,Yes,4,4,4,3,4,3,,3,3,3,3,3,,4,3,3,3,3,3,,3,5,6,3,4,,2,2,2,2,
1/21/2020 12:22:47,10-15-LK,Yes,2,1,2,1,2,2,,3,3,4,3,3,,2,4,5,5,5,5,,5,6,6,5,6,,2,2,2,3,
1/21/2020 12:25:11,08-13-LJ,Yes,3,3,3,2,2,2,,3,4,4,3,3,,4,5,6,5,5,6,,5,5,6,5,5,,1,1,1,1,
1/21/2020 13:15:19,10-02-LH,Yes,2,3,4,3,3,4,,5,5,5,3,6,,2,4,5,4,2,2,,2,4,5,2,3,,4,4,3,3,
1/21/2020 13:18:34,10-14-LI,Yes,4,4,4,3,4,2,,2,3,1,3,2,,5,5,5,5,4,5,,3,4,6,4,5,,3,4,5,5,
1/21/2020 16:41:43,08-12-LH,Yes,4,4,6,5,4,2,,3,2,5,3,5,,2,2,4,2,2,1,,2,1,3,1,2,,6,5,3,6,
1/24/2020 15:51:25,08-13-LJ,Yes,2,2,3,2,2,2,"Overall calm, can settle easily",4,4,5,4,4,,3,3,4,3,3,4,"food motivation high, so is trainable",4,4,5,5,5,,2,2,2,2,
1/25/2020 9:02:23,11-26-IL,Yes,4,3,4,2,3,4,,2,3,2,2,2,,5,4,6,4,3,5,,2,6,6,5,6,,3,4,3,3,
1/25/2020 9:05:33,11-27-II,Yes,3,3,3,3,3,3,,4,5,5,4,4,,2,3,5,2,3,3,,4,5,6,5,5,,2,3,2,3,
1/28/2020 13:26:56,11-24-IK,Yes,2,2,2,2,2,2,,3,3,3,3,3,,5,4,6,5,5,5,,4,5,5,5,5,,2,2,2,2,
1/28/2020 13:30:47,11-28-IZ,Yes,5,5,4,3,4,4,,4,4,3,4,4,,4,4,5,4,4,4,,3,3,5,3,4,,4,2,2,2,Fearful of certain dogs leading to reactive behaviour 
1/28/2020 13:31:36,11-25-IJ,Yes,4,4,4,4,4,3,,5,5,5,2,2,,4,3,5,4,4,5,,5,5,6,5,5,,5,5,5,5,
2/26/2020 13:33:16,12-03-LM,Yes,4,4,4,3,3,3,,4,4,3,3,3,,5,4,5,5,5,5,,5,6,6,4,5,,2,1,2,3,
2/28/2020 17:11:34,12-01-LK,Yes,4,4,3,2,4,3,,3,4,3,4,4,,5,5,5,5,4,6,,4,5,6,4,5,,2,2,2,2,
2/28/2020 17:14:28,12-02-LM,Yes,6,6,6,5,6,5,,3,4,2,4,4,,4,5,5,4,3,5,,2,5,5,2,5,,2,2,3,2,
11/27/2020 15:39:32,09-41-LR,Yes,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,2,4,,5,6,6,5,5,,2,1,2,2,
11/27/2020 15:45:08,09-42-LR,Yes,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,3,4,,5,6,6,5,6,,2,1,2,2,
11/27/2020 15:47:28,09-43-LZ,Yes,5,5,5,4,5,5,,4,4,3,4,5,,4,3,5,4,3,5,,3,5,5,3,5,,2,1,2,1,
11/27/2020 15:49:59,09-44-LT,Yes,3,3,3,3,3,3,,3,2,3,3,2,,3,2,4,4,4,5,,5,6,6,5,6,,2,1,2,2,
11/27/2020 15:53:10,09-45-LZ,Yes,5,5,6,5,6,5,,4,5,4,5,6,,4,3,4,4,3,4,,3,5,5,3,5,,3,2,2,1,
12/3/2020 19:03:25,09-31-LS,Yes,3,3,2,1,3,1,"Excitable during playtime, very calm / serious in working situations.",2,3,5,4,3,Distractions are relatively low and manageable,4,4,5,4,5,5,Good task focus. Learns quickly.,3,4,3,3,3,"Good with people, can be a rough player with other dogs.",2,2,3,2,Generally calm and level-headed.
12/3/2020 19:07:42,09-32-LT,Yes,5,5,4,3,4,3,"Energetic, but can settle and relax well.",4,4,5,3,3,Quite high dog distraction. Will focus strongly on distraction.,2,2,5,3,3,2,"Quite high self-interest. Talented, but knows own mind. Intelligent and can learn to take advantage of handler.",4,5,5,3,4,Very friendly and nice mix with other dogs. Can be cuddly with humans when she wants it.,2,2,2,2,"Pretty balanced, decent confidence."
12/3/2020 21:42:41,09-33-LZ,Yes,3,2,2,1,3,1,"Energetic for playtime, but perfectly happy to just rest outside this.",3,3,4,3,3,,4,3,3,4,4,4,"Lacks some drive and confidence, inhibits trainability somewhat",5,5,4,4,5,"Lovely with people, can be a troublemaker when playing with other dogs",3,2,2,2,"Generally sound, but some suss reactions seen, usually to unexpected noises"
12/3/2020 21:46:15,09-34-LZ,Yes,4,5,3,2,5,3,"Can be excitable, but regulates himself well",3,3,2,4,3,,4,4,5,4,4,6,Nice combo of intelligence and enough confidence to be able to shape. ,4,5,6,5,5,"Lovely with adults, children and particularly other dogs. Lovely manners.",2,3,2,2,Sound pup
12/3/2020 21:52:38,09-35-LV,Yes,5,5,6,3,5,4,Always watching what is going on. Likes to be in company.,4,4,2,4,4,"Keen on his distractions, but tries hard.",4,5,2,5,3,5,"Very keen to please, tries hard. ",4,6,5,2,5,Loves to be with people. Will follow around in the home.,2,3,2,1,Generally sound in all environments.
12/6/2020 20:45:57,09-21-LZ,Yes,4,4,4,3,4,4,all of above may be related to  immaturity and lack of confidence,2,3,2,3,2,,3,3,3,4,2,4,,2,5,5,2,5,,4,3,4,3,
12/6/2020 20:49:27,09-22-LZ,Yes,3,3,3,2,2,2,,4,4,4,4,4,,2,2,3,2,2,2,,4,2,5,3,3,,4,3,3,3,
12/6/2020 21:22:00,09-23-LT,Yes,3,3,2,1,2,1,,4,4,5,3,4,,4,4,5,5,5,5,,6,5,6,6,6,,1,1,1,1,
12/6/2020 21:28:46,09-24-LQ,Yes,4,3,2,1,2,2,,4,4,3,3,3,,5,5,5,5,5,5,,5,5,6,5,6,,4,3,3,3,
12/6/2020 21:33:13,09-25-LV,Yes,5,5,5,3,5,3,,3,3,2,3,3,,5,5,5,5,5,5,,2,5,5,2,5,,3,3,3,3,
12/8/2020 15:10:14,10-41-LZ,Yes,5,5,5,4,6,6,,3,4,4,5,4,,4,4,6,5,4,5,,4,4,5,2,4,,5,4,4,5,
12/8/2020 15:14:27,10-42-LT,Yes,4,4,3,2,4,2,,3,3,3,3,3,,4,5,4,5,5,5,,5,5,5,6,6,,2,3,3,3,
12/8/2020 15:18:26,10-43-LR,Yes,3,3,3,2,3,2,,3,3,3,3,3,,3,3,4,4,4,5,,5,5,5,5,5,,5,5,4,3,
12/8/2020 15:22:14,10-44-LL,Yes,3,3,4,2,4,4,,4,4,5,5,5,,5,4,6,4,4,4,,3,3,3,3,3,,2,3,3,3,
12/8/2020 15:26:19,10-45-LE,Yes,3,3,3,1,3,1,,3,2,3,3,3,,5,6,4,5,6,5,,6,6,6,6,6,,3,3,3,3,
1/15/2021 15:56:12,11-44-LZ,Yes,4,4,4,2,3,2,,3,4,3,4,4,,4,4,4,4,3,4,,4,6,6,4,6,,1,1,2,2,
1/15/2021 16:16:03,11-42-LT,Yes,3,3,3,1,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,5,5,6,5,5,,2,2,2,2,
1/15/2021 16:27:27,11-43-LT,Yes,4,3,3,2,3,2,,2,3,3,3,3,,4,4,4,5,5,5,,5,6,6,5,5,,1,1,4,4,
1/15/2021 17:14:24,11-44-LY,Yes,6,6,5,4,5,6,,4,4,4,4,4,,5,4,5,4,4,5,,5,6,1,3,6,,1,1,2,2,
1/15/2021 17:19:53,11-45-LZ,Yes,5,5,5,4,4,3,,4,4,4,4,4,,4,3,3,3,3,4,,4,6,6,4,6,,1,1,2,2,
1/19/2021 13:50:50,11-40-LZ,Yes,3,3,5,6,6,6,Very Anxious dog- separation anxiety is very bad also  ,4,4,1,2,3,Very motivated when he is in a right state of mind ,5,3,6,3,2,4,Easy to train but is a very stressy dog so find every situation hard to deal with ,2,3,3,1,1,Needs to be with someone all the time,2,3,3,3,"Not really, knows his own mind but is scared of knew environments "
1/19/2021 13:55:19,11-41-LZ,Yes,3,4,6,3,4,1,Likes being with people but enjoys to play with other dogs and his toys,5,4,5,5,5,Food motivates him but does enjoy to train for a reward of play ,3,3,4,3,5,4,"Training him needs to be all about Ziggy and ask him to do everything and make it a game. Very lovable, but really knows his own mind ",6,6,6,6,6,Very easy to be around and to bring to a social setting ,2,2,2,2,Is a confident fella so doesnt get bothered by too much 
1/19/2021 13:58:43,11-42-LE,Yes,6,6,6,5,6,4,So lovable and so easy to be around as he loves to play and learn ,3,5,2,3,3,"Very motivated and wants to always do the right thing, loves to please. ",5,5,5,6,6,6,Extremely easy to train. loves to work  ,6,6,6,4,6,Lovely dog but suffers alot from seperation anxiety and can cause him to get very stressed if left alone in an unknown environment ,3,3,3,3,Can scare very easily to large noise or unusual object
1/19/2021 14:06:09,11-43-LB,Yes,3,3,4,3,4,4,Very lovable dog and easy going but knows her own mind and doesnt enjoy the work as much as others,3,3,3,3,3,Very little motivates her but she does take treats and toys,3,3,3,4,5,4,Trainning can be hard as not alot motivates her to perform her task ,5,5,5,6,6,Very easy to socialise and is very friendly and easy to be around ,2,2,2,2,She knows her own mind and enjoys to be with other dogs than people 
2/1/2021 14:25:48,11-51-LR,Yes,4,4,3,1,3,1,Generally calm but can become excited by dogs/people being OTT,3,5,4,5,4,,3,3,5,3,3,4,,3,4,6,4,5,,1,1,3,1,Can be submissive to some dogs
2/1/2021 14:31:47,11-52-LC,Yes,3,2,3,1,3,1,,2,2,3,3,2,,2,2,2,2,2,3,,4,5,3,4,5,"Some fear based aggression shown once when passing dogs aggressively barking in a home and once passing a cat ( Hackles up, barking, hard to refocus)",2,1,4,3,
2/1/2021 14:33:46,11-53-LD,Yes,5,5,4,2,3,3,,3,4,2,4,3,,3,5,4,4,4,5,,2,5,6,2,5,,1,1,3,2,
2/1/2021 14:35:56,11-54-LP,Yes,5,5,4,2,4,3,,2,5,3,4,4,,5,5,5,5,5,5,,3,6,6,2,5,,2,2,2,2,Can be above on rare occasions
2/10/2021 18:18:13,11-61-LJ,Yes,2,2,2,1,2,2,"He can have excitable moments, but is largely laid back and a bit lazy.",2,4,5,3,2,Generally low distraction,4,3,5,4,3,3,"Fairly naturally gifted, but needs motivation",5,4,6,5,3,"A bit of a loner, particularly with the other dogs.",2,2,2,2,
2/10/2021 18:21:49,11-62-LS,Yes,5,5,4,2,5,4,,3,2,3,4,2,,4,4,5,4,4,4,Bond was required; very hard to work with at first.,3,5,5,2,5,Can be overly excitable at times ,4,5,5,4,Suss reactions seen to some items. Body sense. Some distrust of handler.
2/10/2021 18:26:14,11-63-LC,Yes,5,5,5,5,5,6,Poss separation anxiety. Finds it very difficult to settle.,4,2,2,2,3,High dog distraction. Very hard to return to working focus. ,4,4,4,3,3,4,He is good outside of distractions or high excitability / unsettled. ,2,5,5,2,6,,5,6,3,3,Very anxious when left in kennels  / van on his own (no human present)
2/10/2021 18:30:16,11-64-LT,Yes,5,5,5,4,6,3,"Very energetic and willing, but capable of settling and causes no trouble when left.",2,4,2,5,3,,6,5,4,5,5,5,"Very focussed on handler, only difficulties would be in presence of distractions. Needs to be shown first rather than always problem solving.",5,6,6,3,6,,2,1,2,1,"No fear reactions seen. Happy, confident little pup."
6/8/2021 10:56:27,04-16-LH,Yes,1,1,1,1,1,1,,2,2,2,1,1,Self interested with scenting only.,2,5,4,3,4,4,Slow to respond,6,6,6,5,5,,3,4,3,3,
6/8/2021 13:39:44,04-13-LY,Yes,4,4,3,2,4,2,"Willing, responsive dog who looks to please, walks out nicely as guide dog. Can be excitable for play with toys and dogs",3,3,3,4,3,,4,5,4,5,4,5,,4,5,6,4,5,,2,1,2,2,
6/20/2021 13:07:42,04-11-LV,Yes,3,3,3,2,2,3,,2,3,2,3,2,,5,5,5,5,5,5,,3,3,3,3,3,Can be cautious of new people and has potential to bark if someone is too full on with him on greeting him for first time but once he knows you he is really friendly and sociable.,2,4,2,2,Nervous initially with new people greeting him full on.
6/20/2021 13:11:48,04-12-LY,Yes,4,4,3,3,4,3,,3,4,4,4,3,,6,5,6,5,5,6,,6,6,6,6,6,,2,2,2,2,
6/20/2021 13:19:02,04-14-LV,Yes,3,3,4,3,4,3,Depends on context. Due to stress in kennels she becomes more excitable but in home and on general walks she is less so.,3,4,2,3,4,,5,5,6,5,5,6,,3,4,3,3,3,She can be cautious of strangers approaching her full on but in general she is really friendly. She becomes very attached to handler. ,3,4,3,3,
7/5/2021 10:21:32,04-15-LV,Yes,4,4,5,4,4,5,,4,4,5,5,3,"Highly motivated but only in terms of self interest and to self serve, not inherently willing to please handler",2,2,5,2,2,2,,2,4,4,2,4,,4,4,2,4,Fearful reaction to veterinary personal or handling/physical check
