Code,Extraversion-Active,Extraversion-Energetic,Extraversion-Excitable,Extraversion-Hyperactive,Extraversion-Lively,Extraversion-Restless,Extraversion-Comments,Motivation-Assertive,Motivation-Determined,Motivation-Independent,Motivation-Persevering,Motivation-Tenacious,Motivation-Comments,Training-Attentive,Training-Biddable,Training-Intelligent,Training-Obedient,Training-Reliable,Training-Trainable,Training-Comments,Amicability-Easy-going,Amicability-Frienly,Amicability-Non-aggressive,Amicability-Relaxed,Amicability-Sociable,Amicability-Comments,Neuroticism-Fearful,Neuroticism-Nervous,Neuroticism-Submissive,Neuroticism-Timid,Neuroticism-Comments,Status,DOA,End Date,Duration
08-13-LJ,3,3,3,2,2,2,,3,4,4,3,3,,4,5,6,5,5,6,,5,5,6,5,5,,1,1,1,1,,AD,2019-08-28,2019-11-29,93 days
08-13-LJ,2,2,3,2,2,2,"Overall calm, can settle easily",4,4,5,4,4,,3,3,4,3,3,4,"food motivation high, so is trainable",4,4,5,5,5,,2,2,2,2,,AD,2019-08-28,2019-11-29,93 days
09-21-LZ,4,4,4,3,4,4,all of above may be related to  immaturity and lack of confidence,2,3,2,3,2,,3,3,3,4,2,4,,2,5,5,2,5,,4,3,4,3,,in Training,2020-09-08,,
09-22-LZ,3,3,3,2,2,2,,4,4,4,4,4,,2,2,3,2,2,2,,4,2,5,3,3,,4,3,3,3,,W,2020-09-08,2020-09-16,8 days
09-23-LT,3,3,2,1,2,1,,4,4,5,3,4,,4,4,5,5,5,5,,6,5,6,6,6,,1,1,1,1,,in Training,2020-09-08,,
09-24-LQ,4,3,2,1,2,2,,4,4,3,3,3,,5,5,5,5,5,5,,5,5,6,5,6,,4,3,3,3,,AD,2020-09-08,2021-02-03,148 days
09-25-LV,5,5,5,3,5,3,,3,3,2,3,3,,5,5,5,5,5,5,,2,5,5,2,5,,3,3,3,3,,in Training,2020-09-08,,
09-31-LS,3,3,2,1,3,1,"Excitable during playtime, very calm / serious in working situations.",2,3,5,4,3,Distractions are relatively low and manageable,4,4,5,4,5,5,Good task focus. Learns quickly.,3,4,3,3,3,"Good with people, can be a rough player with other dogs.",2,2,3,2,Generally calm and level-headed.,in Training,2020-09-15,,
09-32-LT,5,5,4,3,4,3,"Energetic, but can settle and relax well.",4,4,5,3,3,Quite high dog distraction. Will focus strongly on distraction.,2,2,5,3,3,2,"Quite high self-interest. Talented, but knows own mind. Intelligent and can learn to take advantage of handler.",4,5,5,3,4,Very friendly and nice mix with other dogs. Can be cuddly with humans when she wants it.,2,2,2,2,"Pretty balanced, decent confidence.",in Training,2020-09-15,,
09-33-LZ,3,2,2,1,3,1,"Energetic for playtime, but perfectly happy to just rest outside this.",3,3,4,3,3,,4,3,3,4,4,4,"Lacks some drive and confidence, inhibits trainability somewhat",5,5,4,4,5,"Lovely with people, can be a troublemaker when playing with other dogs",3,2,2,2,"Generally sound, but some suss reactions seen, usually to unexpected noises",in Training,2020-09-15,,
09-34-LZ,4,5,3,2,5,3,"Can be excitable, but regulates himself well",3,3,2,4,3,,4,4,5,4,4,6,Nice combo of intelligence and enough confidence to be able to shape. ,4,5,6,5,5,"Lovely with adults, children and particularly other dogs. Lovely manners.",2,3,2,2,Sound pup,in Training,2020-09-15,,
09-35-LV,5,5,6,3,5,4,Always watching what is going on. Likes to be in company.,4,4,2,4,4,"Keen on his distractions, but tries hard.",4,5,2,5,3,5,"Very keen to please, tries hard. ",4,6,5,2,5,Loves to be with people. Will follow around in the home.,2,3,2,1,Generally sound in all environments.,in Training,2020-09-15,,
09-41-LR,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,2,4,,5,6,6,5,5,,2,1,2,2,,in Training,2020-09-22,,
09-42-LR,3,3,3,2,2,2,,2,2,2,2,1,,3,2,3,3,3,4,,5,6,6,5,6,,2,1,2,2,,in Training,2020-09-22,,
09-43-LZ,5,5,5,4,5,5,,4,4,3,4,5,,4,3,5,4,3,5,,3,5,5,3,5,,2,1,2,1,,in Training,2020-09-22,,
09-44-LT,3,3,3,3,3,3,,3,2,3,3,2,,3,2,4,4,4,5,,5,6,6,5,6,,2,1,2,2,,in Training,2020-09-22,,
09-45-LZ,5,5,6,5,6,5,,4,5,4,5,6,,4,3,4,4,3,4,,3,5,5,3,5,,3,2,2,1,,in Training,2020-09-22,,
10-02-LH,2,3,4,3,3,4,,5,5,5,3,6,,2,4,5,4,2,2,,2,4,5,2,3,,4,4,3,3,,W,2019-10-02,2019-11-26,55 days
10-03-LJ,4,4,4,2,3,2,,5,5,5,5,5,"Robust , confident dog",5,5,6,5,5,5,,5,5,6,5,6,,1,1,1,1,,AD,2019-10-17,2020-06-08,235 days
10-11-LJ,5,5,3,3,4,4,,5,5,5,5,5,,5,4,5,5,4,4,,3,4,5,4,5,,1,1,1,1,,GD,2019-10-07,2020-07-27,294 days
10-12-LJ,4,4,3,1,2,2,,4,5,4,5,4,,5,5,6,5,5,5,,4,5,6,4,5,,2,2,3,2,,GD,2019-10-07,2020-06-08,245 days
10-13-LK,6,6,6,5,5,6,,3,4,4,4,4,,3,4,5,4,3,4,,2,6,6,3,4,,2,2,4,3,,GD,2019-10-07,2020-06-22,259 days
10-14-LI,4,4,4,3,4,2,,2,3,1,3,2,,5,5,5,5,4,5,,3,4,6,4,5,,3,4,5,5,,W,2019-10-17,2020-02-12,118 days
10-15-LK,2,1,2,1,2,2,,3,3,4,3,3,,2,4,5,5,5,5,,5,6,6,5,6,,2,2,2,3,,AD,2019-10-09,2020-07-20,285 days
10-31-LK,3,2,3,2,2,3,,3,4,4,3,3,,3,3,4,5,5,6,,5,5,6,5,4,,2,1,4,4,,AD,2019-10-24,2020-06-08,228 days
10-41-LZ,5,5,5,4,6,6,,3,4,4,5,4,,4,4,6,5,4,5,,4,4,5,2,4,,5,4,4,5,,in Training,2020-10-05,,
10-42-LT,4,4,3,2,4,2,,3,3,3,3,3,,4,5,4,5,5,5,,5,5,5,6,6,,2,3,3,3,,in Training,2020-10-05,,
10-43-LR,3,3,3,2,3,2,,3,3,3,3,3,,3,3,4,4,4,5,,5,5,5,5,5,,5,5,4,3,,in Training,2020-10-05,,
10-44-LL,3,3,4,2,4,4,,4,4,5,5,5,,5,4,6,4,4,4,,3,3,3,3,3,,2,3,3,3,,in Training,2020-10-05,,
10-45-LE,3,3,3,1,3,1,,3,2,3,3,3,,5,6,4,5,6,5,,6,6,6,6,6,,3,3,3,3,,in Training,2020-10-05,,
11-02-IM,4,4,4,3,4,3,,3,3,3,3,3,,4,3,3,3,3,3,,3,5,6,3,4,,2,2,2,2,,W,2019-11-04,2020-05-29,207 days
11-11-IK,5,5,6,5,5,5,,4,4,2,4,4,,4,4,6,4,4,5,,3,5,5,3,5,,2,2,2,2,,AD,2019-11-12,2020-07-15,246 days
11-24-IK,2,2,2,2,2,2,,3,3,3,3,3,,5,4,6,5,5,5,,4,5,5,5,5,,2,2,2,2,,GD,2019-11-20,2020-07-20,243 days
11-25-IJ,4,4,4,4,4,3,,5,5,5,2,2,,4,3,5,4,4,5,,5,5,6,5,5,,5,5,5,5,,GD,2019-11-20,2020-07-31,254 days
11-26-IL,4,3,4,2,3,4,,2,3,2,2,2,,5,4,6,4,3,5,,2,6,6,5,6,,3,4,3,3,,AD,2019-11-19,2020-07-20,244 days
11-27-II,3,3,3,3,3,3,,4,5,5,4,4,,2,3,5,2,3,3,,4,5,6,5,5,,2,3,2,3,,AD,2019-11-18,2020-07-15,240 days
11-28-IZ,5,5,4,3,4,4,,4,4,3,4,4,,4,4,5,4,4,4,,3,3,5,3,4,,4,2,2,2,Fearful of certain dogs leading to reactive behaviour ,W,2019-11-18,2020-03-10,113 days
11-40-LZ,3,3,5,6,6,6,Very Anxious dog- separation anxiety is very bad also  ,4,4,1,2,3,Very motivated when he is in a right state of mind ,5,3,6,3,2,4,Easy to train but is a very stressy dog so find every situation hard to deal with ,2,3,3,1,1,Needs to be with someone all the time,2,3,3,3,"Not really, knows his own mind but is scared of knew environments ",W,2020-11-04,2021-02-02,90 days
11-41-LZ,3,4,6,3,4,1,Likes being with people but enjoys to play with other dogs and his toys,5,4,5,5,5,Food motivates him but does enjoy to train for a reward of play ,3,3,4,3,5,4,"Training him needs to be all about Ziggy and ask him to do everything and make it a game. Very lovable, but really knows his own mind ",6,6,6,6,6,Very easy to be around and to bring to a social setting ,2,2,2,2,Is a confident fella so doesnt get bothered by too much ,in Training,2020-11-04,,
11-42-LE,6,6,6,5,6,4,So lovable and so easy to be around as he loves to play and learn ,3,5,2,3,3,"Very motivated and wants to always do the right thing, loves to please. ",5,5,5,6,6,6,Extremely easy to train. loves to work  ,6,6,6,4,6,Lovely dog but suffers alot from seperation anxiety and can cause him to get very stressed if left alone in an unknown environment ,3,3,3,3,Can scare very easily to large noise or unusual object,in Training,2020-11-04,,
11-42-LT,3,3,3,1,3,3,,3,3,3,3,3,,3,3,3,3,3,3,,5,5,6,5,5,,2,2,2,2,,in Training,2020-11-10,,
11-43-LB,3,3,4,3,4,4,Very lovable dog and easy going but knows her own mind and doesnt enjoy the work as much as others,3,3,3,3,3,Very little motivates her but she does take treats and toys,3,3,3,4,5,4,Trainning can be hard as not alot motivates her to perform her task ,5,5,5,6,6,Very easy to socialise and is very friendly and easy to be around ,2,2,2,2,She knows her own mind and enjoys to be with other dogs than people ,in Training,2020-11-04,,
11-43-LT,4,3,3,2,3,2,,2,3,3,3,3,,4,4,4,5,5,5,,5,6,6,5,5,,1,1,4,4,,in Training,2020-11-10,,
11-44-LY,6,6,5,4,5,6,,4,4,4,4,4,,5,4,5,4,4,5,,5,6,1,3,6,,1,1,2,2,,in Training,2020-11-10,,
11-44-LZ,4,4,4,2,3,2,,3,4,3,4,4,,4,4,4,4,3,4,,4,6,6,4,6,,1,1,2,2,,in Training,2020-11-10,,
11-45-LZ,5,5,5,4,4,3,,4,4,4,4,4,,4,3,3,3,3,4,,4,6,6,4,6,,1,1,2,2,,in Training,2020-11-10,,
11-51-LR,4,4,3,1,3,1,Generally calm but can become excited by dogs/people being OTT,3,5,4,5,4,,3,3,5,3,3,4,,3,4,6,4,5,,1,1,3,1,Can be submissive to some dogs,in Training,2020-11-20,,
11-52-LC,3,2,3,1,3,1,,2,2,3,3,2,,2,2,2,2,2,3,,4,5,3,4,5,"Some fear based aggression shown once when passing dogs aggressively barking in a home and once passing a cat ( Hackles up, barking, hard to refocus)",2,1,4,3,,in Training,2020-11-20,,
11-53-LD,5,5,4,2,3,3,,3,4,2,4,3,,3,5,4,4,4,5,,2,5,6,2,5,,1,1,3,2,,in Training,2020-11-20,,
11-54-LP,5,5,4,2,4,3,,2,5,3,4,4,,5,5,5,5,5,5,,3,6,6,2,5,,2,2,2,2,Can be above on rare occasions,in Training,2020-11-26,,
11-61-LJ,2,2,2,1,2,2,"He can have excitable moments, but is largely laid back and a bit lazy.",2,4,5,3,2,Generally low distraction,4,3,5,4,3,3,"Fairly naturally gifted, but needs motivation",5,4,6,5,3,"A bit of a loner, particularly with the other dogs.",2,2,2,2,,in Training,2020-11-30,,
11-62-LS,5,5,4,2,5,4,,3,2,3,4,2,,4,4,5,4,4,4,Bond was required; very hard to work with at first.,3,5,5,2,5,Can be overly excitable at times ,4,5,5,4,Suss reactions seen to some items. Body sense. Some distrust of handler.,in Training,2020-12-01,,
11-63-LC,5,5,5,5,5,6,Poss separation anxiety. Finds it very difficult to settle.,4,2,2,2,3,High dog distraction. Very hard to return to working focus. ,4,4,4,3,3,4,He is good outside of distractions or high excitability / unsettled. ,2,5,5,2,6,,5,6,3,3,Very anxious when left in kennels  / van on his own (no human present),in Training,2020-12-02,,
11-64-LT,5,5,5,4,6,3,"Very energetic and willing, but capable of settling and causes no trouble when left.",2,4,2,5,3,,6,5,4,5,5,5,"Very focussed on handler, only difficulties would be in presence of distractions. Needs to be shown first rather than always problem solving.",5,6,6,3,6,,2,1,2,1,"No fear reactions seen. Happy, confident little pup.",in Training,2020-12-03,,
12-01-LK,4,4,3,2,4,3,,3,4,3,4,4,,5,5,5,5,4,6,,4,5,6,4,5,,2,2,2,2,,GD,2019-12-11,2020-06-29,201 days
12-02-LM,6,6,6,5,6,5,,3,4,2,4,4,,4,5,5,4,3,5,,2,5,5,2,5,,2,2,3,2,,GD,2019-12-09,2020-07-21,225 days
12-03-LM,4,4,4,3,3,3,,4,4,3,3,3,,5,4,5,5,5,5,,5,6,6,4,5,,2,1,2,3,,AD,2019-12-09,,
