Intake,Code,DOA,Name,Travel Info,PR Sup,N/S Date,DOB,Trainer,Medical Info,Additional Info,Program Recommendation,Sex,PBS,Breed Original,Source,Diet               ,KC Date,DC1,DC2,Status,End Date,Breed,Initial,Litter,Coat Colour
4,05-21-LH,30/05/2019,Hugo,PW arriving at centre between 1-1.30pm,Frances,17/01/2019,11/05/2018,Allyce,,,AD,M,No,Lab x Ret,IGDB,RC maxi puppy 160gx 2,17/05/2019,,,W,05/07/2019,LRxGR,H,H1,
4,05-22-LE,28/05/2019,Eliza,"12pm Latest, Catherine meeting, no tour needed.",Catherine,26/04/2019,12/03/2018,Anne Marie,,,GD ,F,No,Lab X Gret X Lab,IGDB,RCMP 180G BID,15/03/2019,18/06/2019,12/08/2019,W,12/11/2019,LRx,E,E1,
5,07-01-LG,02/07/2019,Goober,Will need collection from Junction 14 at 11:30am,Graham,30/10/2018,15/04/2018,Ciara F,,,,M,No,Lab/GRT,IGDB,RCMP 165g x 2,17/04/2019,29/07/2019,17/09/2019,GD,03/02/2020,LRxGR,G,G1,
5,07-02-LH,02/07/2019,Herbie,Will need collection from Junction 14 at 11:30am,Graham,07/12/2018,11/05/2018,Susan,,"Tendency to become easily activated when stressed and as he is a big pup he needs someone able to manage him on lead, particularly without his head collar.",,M,No,Lab/GRT,IGDB,RCMP 180g x 2,08/05/2019,29/07/2019,17/09/2019,GD,10/03/2020,LRxGR,H,H1,
5,07-03-LE,02/07/2019,Evie,"First time puppy raiser dropping in, will need a tour",Rose,10/05/2019,12/03/2018,Ciara F,,"Has had one or two fearful reactions at Gillabbey vets so we have been working on improving her association with the waiting area using stuffed kongs, chews and treats which has been working well.",,F,No,Lab/GRT,IGDB,150 RCMP BID,03/07/2019,29/07/2019,17/09/2019,GD,02/02/2020,LRx,E,E1,
5,07-04-LZ,02/07/2019,Zac,Boarding in kennels as raiser away so will move over to the training block once allocated one.,Rose,07/12/2018,06/04/2018,Susan,On caniglo for dry coat,". Can be mouthy when greeting new people so useful to have a toy ready to redirect. Has been quite a ""panty"" dog since he was a puppy so excessive panting not necessarily a sign of stress as have observed him doing it in the home while very relaxed. Quite a buzzy dog but has settled hugely in the past 3 months",,M,No,Choc lab,Private breeder,180g RCMP,30/05/2019,29/07/2019,18/09/2019,W,25/10/2019,LR,Z,Z1,
6,07-11-LZ,29/07/2019,Ziggy,,Rose,04/01/2019,06/04/2018,Susan,,,,M,No,Lab,Private breeder,RCMP 180g BID,,,,W,13/08/2019,LR,Z,Z1,
6,07-12-LG,16/06/2019,Gav,,Rose,26/11/2018,15/04/2018,Susan,,,,M,No,Home Bred,IGDB,,,21/08/2019,14/10/2019,AD,28/01/2020,LRxGR,G,G1,
6,07-13-LE,30/07/2019,Effie,Will collect and drive down myself on the 30th as I have our monthly meeting that day.,Graham,13/05/2019,12/03/2018,Anne Marie,,,,F,No,Lab/GRT,IGDB,RCMP 150g x 2,10/07/2019,21/08/2019,10/10/2019,GD,03/02/2020,LRx,E,E1,
6,07-14-LG,21/07/2019,Gretel,Raisers going on Holiday 21st so she will be in boarders until her intake date,Catherine,,15/04/2018,Nadine,"Very slim, lost weight after her spay. Gaining, but slowly.",,,F,No,Lab/GRT,IGDB,220g RCMP BID,09/04/2019,21/08/2019,10/10/2019,AD,29/11/2019,LRxGR,G,G1,
6,07-15-LG,29/07/2019,Gilli,Will be coming into kennels from a temp home in tipperary.,Frances,14/03/2019,15/04/2018,Eimear,Copraphagic,,,F,No,Lab/GRT,IGDB,RCMP 145g x 2,08/07/2019,21/08/2019,,W,01/10/2019,LRxGR,G,G1,
7,08-01-LH,21/08/2019,Harry,Puppy raiser bringingin between one and half past. Will need a tour (first timer),Rose,29/11/2018,11/05/2018,Nadine,,,,M,No,lab x g.ret,IGDB,RCMP 200g AM 100g PM,July 25th,18/09/2019,30/10/2019,AD,29/11/2019,LRxGR,H,H1,
7,08-02-LH,21/08/2019,Harvey,Temp home bringing in TBC or puppy raising sup. Needs tour,Rose,31/01/2019,11/05/2018,Eimear,Suffers from travel sickness but travels ok on public transport and in the back of a van. Will salivate but hasn’t gotten sick in a long time,Potential assessment due to travel sickness,,M,No,lab x g.ret,IGDB,RCMP 200g AM 200g PM,May 20th,18/09/2019,30/10/2019,AD,28/01/2020,LRxGR,H,H1,
7,08-03-LH,21/08/2019,Hans,Raiser brining him down to arrive at the centre between 1 and 1:30 pm so will need someone to meet them and do the handover.,Graham,17/01/2019,11/05/2018,Eimear,,,,M,No,lab x g.ret,IGDB,RCMP - 180g x 2,20/07/2019,23/09/2019,,AD,12/02/2020,LRxGR,H,H1,
7,08-04-LH,21/08/2019,Harmony,Already at centre,Diana,,11/05/2018,Nadine,ENTIRE WAS PBS. AT CENTRE SO WILL BE WALKED UNTIL SPAYED,,,F,Yes,labx g.ret,IGDB,RCMP 220g BID,03/04/2019,18/09/2019,30/10/2019,AD,29/11/2019,LRxGR,H,H1,
8,08-11-LJ,28/08/2019,Jira,"Needs to be collected, Caroline arranging w/Graham.",Frances,02/04/2019,03/07/2018,Ciara F,"Ear problems, on anallergenic diet and Apoquel for two weeks. Suspected Atopy.",,,F,No,Labrador,IGDB,RC Anallergenic,,23/09/2019,06/11/2019,GD,03/02/2020,LR,J,J1,
8,08-12-LH,28/08/2019,Hayley,Needs to be collected in Kildare,Frances,,11/05/2018,Anne Marie,Needs to be spayed on arrival at kennels as temp home cannot hang onto her any longer and isnt comfortable getting her spayed,,,F,Yes,,IGDB,,,23/09/2019,06/11/2019,W,04/12/2019,LRxGR,H,H1,
8,08-13-LJ,28/08/2019,Jojo,PR bringing in between 1 & 2pm. Will need someone for handover.,Frances,,03/07/2018,Eimear,,,,F,No,Labrador,IGDB,,08/04/2019,23/09/2019,14/11/2019,AD,29/11/2019,LR,J,J1,
9,09-01-LI,04/09/2019,Irrie,,Frances,21/08/2019,28/06/2018,Susan,Initially could be anxious in a car leading to getting sick: We think this is now cleared. Sometimes will try to eat her own faeces.,,,F,No,Lab X GRet,IGDB,Royal Canin Maxi Junior,26/06/2019,02/10/2019,20/11/2019,GD,27/07/2020,LRxGR,I,I1,
9,09-02-LJ,04/09/2019,Judson,Needs to be collected at J14.,Frances,09/08/2019,03/07/2018,Susan,,"Judson was boarded twice while the PR went on holidays. One of those times, there was no other dog in the house, and Judson could not settle and was very distressed. Very needy without another dog.",,M,No,Labrador,IGDB,,,02/10/2019,20/11/2019,GD,08/06/2020,LR,J,J1,
9,09-03-LJ,04/09/2019,Josie,,Diana,11/03/2019,03/07/2018,Susan,,,,F,No,Labrador,IGDB,,,02/10/2019,20/11/2019,GD,17/08/2020,LR,J,J1,
9,09-04-LJ,04/09/2019,Jazzi,,"Rose, Diana",21/03/2019,03/07/2018,Susan,,,,F,No,Labrador,IGDB,,,02/09/2019,20/11/2019,GD,27/07/2020,LR,J,J1,
10,10-01-LF,02/10/2019,Fergus,Being brought down by raiser to arrive on site between 1 and 1:30pm,Graham,14/11/2018,16/03/2018,Eimear,,Very sensitive pup and 1st time raiser so will need some pateince during the handover,,M,No,Lab,IGDB,RCMA 200 g x 2,11/03/2019 (to be given again when back from holidays),24/10/2019,,AD,28/01/2020,LR,F,F1,
10,10-02-LH,02/10/2019,Hollie,Being brought down by raiser to arrive on site between 1 and 1:30pm,Graham,21/05/2019,11/05/2018,Ciara F,Has had multiple trips to the vets for swallowing stones and has had to be sedated and operated on twice to remove them,Very sensitive pup and 1st time raiser so will need some pateince during the handover,,F,No,Lab/GRT,IGDB,RCMP 130g x 2,09/05/2019,24/10/2019,,W,26/11/2019,LRxGR,H,H1,
10,10-03-LJ,17/10/2019,July,Graham to collect in am and planning to arrive at centre for 2pm,Graham,06/02/2019,03/07/2018,Eimear,Has a sensitive stomach and has had multiple ear and eye infections throuhgout the year,Coprophagia managable but still there if given the opportunity,,F,No,Lab,IGDB,RC Gastro 160g x 2,01/07/2019,30/10/2019,08/01/2020,AD,08/06/2020,LR,J,J1,
10,10-04-LJ,02/10/2019,Jane,Needs collection by Jim at J14 Mayfield off the N7 at 11:30am,Graham,25/02/2019,03/07/2018,Nadine,Has had multiple ear and eye infections throuhgout the year,,,F,No,Lab,IGDB,RCMP 160g x 2,03/07/2019,24/10/2019,08/01/2020,AD,14/02/2020,LR,J,J1,
11,10-11-LJ,07/10/2019,Junior,"Rose collecting in AM, will be in in the afternoon",Rose,30/05/2019,03/07/2018,Ciara F,Eyes need to be monitored as slight ectropion. Vet deemed not severe enough to operate on but eyes can become gunky from time to time,,,M,No,Lab,IGDB,RCMP 200g BID,2nd week Sept exact date TBC by PR,06/11/2019,09/01/2020,GD,27/07/2020,LR,J,J1,
11,10-12-LJ,07/10/2019,Joy,"Rose collecting in AM, will be in in the afternoon",Rose,02/04/2019,03/07/2018,TBC,Has had some ear issues and some very minor rashes. Diet change not warranted as cleared up so likely seasonal,May chance her arm with demand barking at volunteers so this will need to be monitored. Fine once she knows she wont get away with it,,F,No,Lab,IGDB,RCMP 180g BID,16/09/2019,01/11/2019,18/12/2019,GD,08/06/2020,LR,J,J1,
11,10-13-LK,07/10/2019,Kelvin,John and Jim collecting at 11.30. Should arrive at the centre at 2pm approx,Rose,13/03/2019,02/08/2018,Ciara F,Has has issues on RC with consistent loose stools which created issues with spending and inability to gain weight. MUST STAY ON JWB as has thrived on this diet and become clean on walk,Coprophagic but has been well managed by puppy raiser. Suspect drive will increase with kennel stress so will need to be managed,,M,No,lab x g.ret,IGDB,JWB puppy duck 200g BID,18/08/2019,01/11/2019,09/01/2020,GD,22/06/2020,LRxGR,K,K1,
11,10-15-LK,09/10/2019,Kirby,"Mags collecting AM, to arrive at the centre close to 2pm",Mags,03/04/2019,02/08/2018,Eimear,Nil of note,"Had difficulty managing crate training, was vocal and early riser. Sleeping area moved closer to family for a period of time. Will counter surf and steal items if opportunity arises. Sometimes not clean on walks, needs spending cue re-established. Tends not to lead out on walk.",,M,No,lab x g.ret,IGDB,RCMP 190g BID,16/09/2019,01/11/2019,08/01/2020,AD,20/07/2020,LRxGR,K,K1,
12,10-14-LI,17/10/2019,Idris,Graham to collect in am and planning to arrive at centre for 2pm,Mags,15/03/2019,28/06/2018,Ciara F,"Had reaction at site of initial vaccinations, required surgical resection of granulomatous cyst. Treated for ear mites at initial placement.Gastro upset delayed planned intake Oct 9th-completely resolved(Prescribed anti-emetic and flagyl)","Relatively (according to PR) recent onset of sticking on walks. Has not progressed with halti beyond initial donning/doffing, Weight 39.9kg with BCS 4 despite reduction in kibble intake",,M,No,lab x g.ret,IGDB,RCMP140g BID,02/07/2019,06/11/2019,09/01/2020,W,12/02/2020,LRxGR,I,I1,
13,10-31-LK,24/10/2019,Kacie,Being brought down by Graham to arrive approx 1/1:30pm,Graham,15/03/2019,02/08/2018,Nadine,,Sensitive dog so may need a temp home,,F,No,Lab/GRT,IGDB,RCMP 180g x 2,11/10/2019,14/11/2019,09/01/2020,AD,08/06/2020,LRxGR,K,K1,
14,11-01-LM,04/11/2019,Mac,Alredy in kennel,DSM,21/10/2019,25/08/2018,Martin,,Med-higgh dog sensitivity. Poor greetings. He will walks calm and relaxed on the lead. Very good with children,GD/AD,M,No,Lab x,IGDB,Wolf of Wilderness 180 gr BID,25/02/19(due Jan 2020),18/12/2019,,W,03/01/2020,LR,M,M1,
14,11-02-IM,04/11/2019,Meeko,Already in kennel,DSM,14/10/2019,25/08/2018,Martin,,Meeko has equipment sensitivity (he does not accept the gentle lead neither the halti). He pulls on lead despite the head collar. He often spends on walk. His greetings are poor. I suspect his puppy raiser didn't always listen to supervisor suggestion on how to train the pup. I am confident with some work he will get better.,,M,No,Lab X,IGDB,160gr RCMP Bid,01/09/2019,18/12/2019,16/01/2020,W,29/05/2020,LR,M,M1,
15,11-11-IK,12/11/2019,Kain,Puppy raiser driving to centre aiming to arrive 2pm,Mags,23/04/2019,02/08/2018,Martin,Nil,"Super, confident, intelligent dog.PR Summary of thoughts attached on Kain's PAWS file",GD/AD,M,No,Lab X Gret,IGDB,RCMP 165g bid,06/08/2019,18/12/2019,16/01/2020,AD,15/07/2020,LRxGR,K,K1,
15,11-12-IM,12/11/2019,Mara,Puppy raiser driving to centre aiming to arrive 2pm,Mags,22/10/2019,25/08/2018,Martin,Has had episodes of lameness during PR'ing year but nothing current,Mara is a faddy eater and had post season period of lethargic behaviour. A little sensitive with head halti. Mild dog distraction and has shown suspicion around novelty but not frequently reported,AD,F,No,Lab x GRet,IGDB,RCMP (amt tbc),28/08/2019,18/12/2019,,W,03/01/2020,LR,M,M1,
16,11-21-IK,19/11/2019,Katie,Volunteer transport requested -TBC,Mags,22/05/2019,02/08/2018,Nadine,Nil,Dog distraction when free running,GD/AD,F,No,Lab x Gret,IGDB,RCMP 150g bid,27/08/2019,12/12/2019,28/01/2020,AD,08/06/2020,LRxGR,K,K1,
16,11-22-IM,19/11/2019,Meg,Volunteer transport requested -TBC,Mags,29/10/2019,25/08/2018,Nadine,Has had episodes of lameness on walk. Nil acute diagnosed but Xrays subsequently precluded from PBS,Scent distracted. Inconsistent S&T but improved with head halti. Evidence of scavenging/item stealing behaviour,AD,F,No,Lab x Gret,IGDB,RCMP ( amt tbc),20/08/2019,12/12/2019,30/01/2020,W,31/01/2020,LR,M,M1,
16,11-23-IT,19/11/2019,Tosh,TBA,Mags,22/07/2019,25/09/2018,Eimear,Has had episodes of gastric upset on walk. Has required eye drops for eye infection. Nil current,Mild/Mod mental sensitivity and shy around jacket,AD,M,No,G Ret,GDBUK,TBC,TBA,12/12/2019,28/01/2020,W,20/01/2020,GR,T,T1,
16,11-24-IK,20/11/2019,Kaiser,Being brought down by Graham to arrice before 2pm,Graham,01/04/2019,02/08/2018,Susan,Please see recent medical report on his PAWS files. Has had reactions to our worm and flea treatments so is only given Prinovox for flea treatments and Milbemax for worming.,Apart from his skin sesnitivity he is a super pup,GD/AD,M,No,Lab x Gret,IGDB,RCMP 170g x 2,29/10/2019,13/12/2019,28/01/2020,GD,20/07/2020,LRxGR,K,K1,
16,11-25-IJ,20/11/2019,Jessie,Being brought down by Graham to arrice before 2pm,Graham,27/02/2019,03/07/2018,Susan,Has had ear and eye infections just like her litter mates but has been clear of them recently.,Super pup,GD/AD,F,No,Lab x Gret,IGDB,RCMP 160G X 2,,13/12/2019,28/01/2020,GD,31/07/2020,LR,J,J1,
16,11-26-IL,19/11/2019,Lexie,PR will bring her in the morning,DSM,04/11/2019,17/08/2018,Eimear,Nil,High mental sensitivity. Moderate movement axcites. Dog distraction.Improving.,GD/AD,F,No,Lab,IGDB,RCMP 140 BID,,12/12/2019,30/01/2020,AD,20/07/2020,LR,L,L1,
16,11-27-II,18/11/2019,Illana,Arriving on the 18th of November from Waterford,DSM,06/09/2019,28/06/2018,Martin,,Easy to walk. Focused on handler. She does not pull. Some panting. Occasionally looks for handler seeking reassurance.,AD,F,No,Lab X,IGDB,200 gr RCMP Bid,,18/12/2019,30/01/2020,AD,15/07/2020,LRxGR,I,I1,
16,11-28-IZ,18/11/2019,Zander,PRs dropping in at 1pm. Need a tour,Rose,21/10/2019,19/10/2018,Martin,,Has some seperation anxiety. May need temp home,,M,No,Lab,Cesecah,RCMP 170g BID,04/11/2019,13/12/2019,28/01/2020,W,10/03/2020,LR,Z,Z2,
17,12-01-LK,11/12/2019,Kali,To be brought down by Graham to arrive before 2pm,Graham,12/03/2018,02/08/2018,Susan,no ongoing health issues,Super pup!,GD,F,No,Lab X G.Ret,IGDB,RCMP 150g x 2,22/11/2019,09/01/2020,19/02/2020,GD,29/06/2020,LRxGR,K,K1,
17,12-02-LM,09/12/2019,Minnie,Puppy raiser lives on model farm road so will drop down at 1pm. Will need tour and to meet a trainer,Rose,22/10/2019,25/08/2018,Susan,Has had Panosteitis during PR on and off but has been fine for a few months,,,F,No,Labrador,IGDB,RCMP 160g BID,,09/01/2020,19/02/2020,GD,21/07/2020,LR,M,M1,
17,12-03-LM,09/12/2019,Milo,PR will be bringing in at 1.30 and will need tour and to meet a trainer,Rose,22/10/2019,25/08/2018,Susan,Has had Panosteitis during PR on and off but has been fine for a few months,,,M,No,Lab,IGDB,RCMP 180g BID,23/08/2019,09/01/2020,19/02/2020,AD,24/08/2020,LR,M,M1,
18,01-01-LM,09/01/2020,Molly,To be collected at Junction 14 Mayfield by Jim & John at approx 11:30am,Graham,12/12/2019,25/08/2018,Catherine,Came in to season in October sp needed to wait at least 6 weeks for spay,Extremely sensitive pup so will need a temp home at night,AD,F,No,Lab,IGDB,RCMP 160g BID,28/08/2019,29/01/2020,,AD,02/11/2020,LR,M,M1,
18,01-02-LM,06/01/2020,Mandy,PR will be bringing in at 1pm. Will need a tour and to meet the trainer,Rose,25/11/2019,25/08/2018,Eimear,,,,F,No,Lab,IGDB,RCMP 150g BID,TBC,29/01/2020,,AD,20/07/2020,LR,M,M1,
18,01-03-LN,09/01/2020,Nina,To be collected at Junction 14 Mayfield by Jim & John at approx 11:30am,Graham,26/08/2019,23/12/2018,Niamh,Healthy,Gorgoeus pup,GD/AD,F,No,Lab X GR,IGDB,RCMP 200g x 2,23/12/2019,31/01/2020,,GD,14/09/2020,LRxGR,N,N1,
18,01-04-LN,09/01/2020,Niamh,To be collected at Junction 14 Mayfield by Jim & John at approx 11:30am,Graham,28/07/2019,23/12/2018,Niamh,On RC Hypo due to flare up a few months back on her underbelly and some ear flare ups but since being put on this diet by the vets she has been perfect.,Nice pup,GD/AD,F,No,Lab X GR,IGDB,RC Hypoallergenic 150g x 2,TBC,29/01/2020,,GD,05/10/2020,LRxGR,N,N1,
18,01-05-LN,06/01/2020,Noel,PRS bringing in. Time TBC,Rose,09/10/2019,23/12/2018,Niamh,Has had absess in his head on PR but no reoccurence since,,,M,No,Lab X GR,IGDB,RCMP 170g BID,TBC,29/01/2020,,AD,11/11/2020,LRxGR,N,N1,
18,01-06-LN,07/01/2020,Nala,TBC either PR or PRS after lunch,Diana,01/08/2019,23/12/2018,Eimear,,Very straigthforwars pup.,GD/AD,F,No,Lab X,IGDB,RCMP 150gr BID,06/09/2019,29/01/2020,,AD,21/08/2020,LRxGR,N,N1,
18,12-11-LK,09/01/2020,Kyle,"PR to drive to centre, tour of kennels if poss",Mags,09/05/2019,02/08/2018,Niamh/Ciara,Ectropion- no surgery required.Recently completed drops for ear infection. Nil on going,,GD/AD,M,No,Lab X GR,IGDB,RCMP 180g BID,28/09/2019,11/02/2020,,GD,28/09/2020,LRxGR,K,K1,
19,01-11-LZ,21/01/2020,Zeus,To be collected at Junction 14 at 11:30am - Jim and John collecting,Mags,21/06/2019,14/10/2018,Niamh,Nil of note,Has had issues with spending on walks. Managed with better toileting on cue routine prior to and during walks,GD/AD,M,No,Lab,DFG,180g bid,08/10/2019,11/02/2020,,GD,14/09/2020,LR,Z,Z3,
19,01-12-LO,21/01/2020,Odin,Puppy raiser will meet volunteer drivers at Jn 14 for 11.30,Mags,29/10/2019,12/01/2019,Eimear,Lesion removed from under R eye- benign.Will need xrays done in Cork as litter are PBS,Has had extra input to improve recall issues with good results. Coprophagic tendency but managed meticulously,GD/AD,M,No,Lab X GR,IGDB,190g bid,07/01/2020,11/02/2020,,AD,21/08/2020,LRxGR,O,O1,
19,01-13-LO,22/01/2020,Oj,PRS will bring him in after lunch on the 21st (Tuesday),Diana,01/11/2019,12/01/2019,Susan/Eimear,,Dog distraction getting better with time. Noce pup very good with children. Gains weight. Diet changed from Puppy to Adult,GD/AD,M,No,Lab X GR,IGDB,150gr RCMA bid,06/01/2020,11/02/2020,,AD,02/11/2020,LRxGR,O,O1,
19,01-14-LO,21/01/2020,Ozark,Raiser bringing him down himself to arrive on site between 1 and 1:30pm.,Graham,20/09/2019,12/01/2019,Ciara/Cliodhna,Will need xrays done in Cork as litter are PBS,Sensitive pup sp will need a temp home,GD/AD,M,No,Lab X GR,IGDB,RCMP 200g x 2,03/01/2020,19/02/2020,,AD,29/06/2020,LRxGR,O,O1,
19,01-15-LO,21/01/2020,Orbet,Raiser bringing him down herself to arrive on site between 1 and 1:30pm.,Graham,02/09/2019,12/01/2019,Susan,Will need xrays done in Cork as litter are PBS,Sensitive pup sp will need a temp home,AD,M,No,Lab X GR,IGDB,RCMP 200g x 2,02/01/2020,11/02/2020,,AD,21/08/2020,LRxGR,O,O1,
20,02-01-LN,03/02/2020,Noelle,Rose collecting at 12 o clock from Cobh,Rose,,23/12/2018,Allyce,On JWB puppy fish due to skin and dirty ear issues,,GD,F,No,Lab x g.ret,IGDB,JWB puppy fish,17/12/2019,,,W,16/07/2020,LRxGR,N,N1,
20,02-02-LO,06/02/2020,Ocean,PR bringing down at 1.30. Will need tour,Rose,07/01/2020,12/01/2019,Allyce,Will need PBS xray as was not able to complete as pup recovering from spay,"Recall very poor, was assesses by martin a few months back. Decision made not to withdraw",GD,F,No,Lab x g.ret,IGDB,RCMP 150g BID,17/01/2020,,,AD,17/02/2021,LRxGR,O,O1,
21,02-03-LN,12/02/2020,Niff,PR bringing down at 1.30. Will need tour,Rose,24/07/2019,23/12/2018,Allyce,On JWB puppy fish due to skin and dirty ear issues,"Quite anxious, will probabaly need temp home if possible",AD,M,No,Lab x g.ret,IGDB,JXB puppy fish 160g BID,31/01/2020,,,AD,30/09/2020,LRxGR,N,N1,
21,02-04-LP,12/02/2020,Pennie,Arriving on 12th of February - To be collected at Junction 14 at 11:30am - Jim and John collecting,Graham,06/01/2020,30/01/2019,Nadine,,Sensitive pup so will need a temp home. Anxious at times so will need help and time to settle in.,AD,F,No,Lab X,IGDB,Maxi Puppy 150gr bid,17/01/2020,,,W,08/06/2020,LRx,P,P1,
